entityId,entityType,currencyCode,ContextControlContentAvoidance,ContextControlTargeting,BrandSafety,SuspiciousActivity,Viewability,TRAQ,VideoBrandSafety,VideoSuspiciousActivity,VideoViewability
3669639,Advertiser,INR,11.1,14.7335,2.96,1.48,5.92,0.15,4.44,2.96,8.88
3678034,Advertiser,EUR,0.16568,0.16568,0.027896,0.027896,0.055792,0.083689,0.055792,0.055792,0.170111
3680035,Advertiser,CAD,0.25875,0.25875,0.066577,0.066577,0.133155,0.199732,0.133155,0.133155,0.26631
3680431,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3680531,Advertiser,INR,11.1,14.7335,2.96,1.48,5.92,0.15,4.44,2.96,8.88
3682832,Advertiser,EUR,0.16568,0.16568,0.043825,0.043825,0.08765,0.131475,0.08765,0.08765,0.1753
3683932,Advertiser,CAD,0.25875,0.25875,0.06649,0.06649,0.13298,0.19947,0.13298,0.13298,0.26596
3684331,Advertiser,CAD,0.25875,0.25875,0.066577,0.066577,0.133155,0.199732,0.133155,0.133155,0.26631
3685834,Advertiser,USD,0.2,0.2,0,0,0,0,0,0,0
3686031,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3688432,Advertiser,EUR,0.16568,0.16568,0.044027,0.044027,0.088055,0.132082,0.088055,0.088055,0.17611
3688435,Advertiser,EUR,0.16568,0.16568,0.044027,0.044027,0.088055,0.132082,0.088055,0.088055,0.17611
3688437,Advertiser,EUR,0.16568,0.16568,0.044027,0.044027,0.088055,0.132082,0.088055,0.088055,0.17611
3688438,Advertiser,EUR,0.16568,0.16568,0.044027,0.044027,0.088055,0.132082,0.088055,0.088055,0.17611
3688439,Advertiser,EUR,0.16568,0.16568,0.044027,0.044027,0.088055,0.132082,0.088055,0.088055,0.17611
